CMDLINE /Users/halverso/mambaforge/envs/ECOSTRESS/bin/python3.11 try_STARS_update.py
MEM 0.046875 1691181362.3983
MEM 33.046875 1691181362.5035
MEM 50.546875 1691181362.6042
MEM 69.671875 1691181362.7064
MEM 80.109375 1691181362.8068
MEM 89.203125 1691181362.9071
MEM 99.156250 1691181363.0091
MEM 109.328125 1691181363.1143
MEM 124.046875 1691181363.2183
MEM 132.906250 1691181363.3186
MEM 134.875000 1691181363.4237
MEM 135.156250 1691181363.5288
MEM 135.156250 1691181363.6300
MEM 135.156250 1691181363.7344
MEM 135.203125 1691181363.8396
MEM 135.437500 1691181363.9412
MEM 135.546875 1691181364.0420
MEM 150.187500 1691181364.1471
MEM 154.546875 1691181364.2524
MEM 164.656250 1691181364.3575
MEM 176.968750 1691181364.4627
MEM 189.859375 1691181364.5675
MEM 198.359375 1691181364.6677
MEM 199.203125 1691181364.7729
MEM 205.937500 1691181364.8736
MEM 218.000000 1691181364.9765
MEM 222.671875 1691181365.0817
MEM 228.953125 1691181365.1869
MEM 242.609375 1691181365.2916
MEM 306.765625 1691181365.3960
MEM 336.656250 1691181365.5006
MEM 336.656250 1691181365.6029
MEM 336.687500 1691181365.7081
MEM 336.687500 1691181365.8086
MEM 515.390625 1691181365.9138
MEM 540.140625 1691181366.0164
MEM 540.140625 1691181366.1172
MEM 544.406250 1691181366.2208
MEM 544.406250 1691181366.3260
MEM 561.687500 1691181366.4263
MEM 569.406250 1691181366.5290
MEM 569.406250 1691181366.6341
MEM 569.406250 1691181366.7369
MEM 569.406250 1691181366.8420
