CMDLINE python try_STARS_prefetched.py
MEM 0.046875 1695338430.5925
MEM 36.312500 1695338430.6977
MEM 60.250000 1695338430.7998
MEM 83.578125 1695338430.9049
MEM 104.578125 1695338431.0100
MEM 113.781250 1695338431.1113
MEM 136.296875 1695338431.2120
MEM 152.640625 1695338431.3146
MEM 168.312500 1695338431.4153
MEM 179.171875 1695338431.5204
MEM 187.250000 1695338431.6243
MEM 193.187500 1695338431.7295
MEM 205.500000 1695338431.8333
MEM 213.765625 1695338431.9340
MEM 232.421875 1695338432.0345
MEM 234.281250 1695338432.1397
MEM 234.453125 1695338432.2448
MEM 236.984375 1695338432.3500
MEM 236.984375 1695338432.4552
MEM 236.984375 1695338432.5563
MEM 238.781250 1695338432.6568
MEM 240.484375 1695338432.7593
MEM 242.156250 1695338432.8618
MEM 243.906250 1695338432.9659
MEM 245.593750 1695338433.0711
MEM 247.359375 1695338433.1762
MEM 249.093750 1695338433.2814
MEM 250.812500 1695338433.3866
MEM 252.500000 1695338433.4886
MEM 254.171875 1695338433.5892
MEM 255.906250 1695338433.6944
MEM 257.625000 1695338433.7995
MEM 258.609375 1695338433.9013
MEM 260.296875 1695338434.0057
MEM 262.078125 1695338434.1108
MEM 263.750000 1695338434.2135
MEM 265.343750 1695338434.3141
MEM 267.000000 1695338434.4147
MEM 268.718750 1695338434.5199
MEM 270.343750 1695338434.6217
MEM 272.031250 1695338434.7252
MEM 273.750000 1695338434.8304
MEM 275.437500 1695338434.9346
MEM 277.125000 1695338435.0398
MEM 278.843750 1695338435.1449
MEM 280.484375 1695338435.2467
MEM 305.234375 1695338435.3519
MEM 305.234375 1695338435.4571
MEM 305.765625 1695338435.5579
MEM 305.828125 1695338435.6591
MEM 306.390625 1695338435.7643
MEM 306.390625 1695338435.8668
MEM 306.640625 1695338435.9721
MEM 306.734375 1695338436.0772
MEM 306.734375 1695338436.1781
MEM 306.765625 1695338436.2834
MEM 306.765625 1695338436.3855
MEM 306.765625 1695338436.4859
MEM 306.765625 1695338436.5888
MEM 306.765625 1695338436.6942
MEM 306.765625 1695338436.7957
MEM 306.765625 1695338436.9004
MEM 306.765625 1695338437.0062
MEM 306.859375 1695338437.1110
MEM 307.250000 1695338437.2115
MEM 307.390625 1695338437.3166
MEM 307.390625 1695338437.4219
MEM 307.375000 1695338437.5248
MEM 307.375000 1695338437.6292
MEM 307.375000 1695338437.7349
MEM 307.375000 1695338437.8381
MEM 309.140625 1695338437.9433
MEM 401.609375 1695338438.0484
MEM 402.968750 1695338438.1518
MEM 402.968750 1695338438.2569
MEM 402.968750 1695338438.3608
MEM 408.578125 1695338438.4660
MEM 585.109375 1695338438.5681
MEM 741.718750 1695338438.6685
MEM 759.515625 1695338438.7695
MEM 877.109375 1695338438.8747
MEM 889.671875 1695338438.9753
MEM 889.671875 1695338439.0805
MEM 991.875000 1695338439.1857
MEM 999.312500 1695338439.2908
MEM 1018.500000 1695338439.3922
MEM 1018.578125 1695338439.4974
MEM 1061.875000 1695338439.6025
MEM 1070.234375 1695338439.7045
MEM 1070.234375 1695338439.8097
MEM 1070.234375 1695338439.9149
MEM 1172.437500 1695338440.0186
MEM 1432.593750 1695338440.1238
MEM 1632.375000 1695338440.2246
MEM 1632.375000 1695338440.3253
MEM 1632.375000 1695338440.4299
MEM 1632.375000 1695338440.5350
MEM 1632.375000 1695338440.6402
MEM 1633.437500 1695338440.7453
MEM 1657.578125 1695338440.8505
MEM 1657.578125 1695338440.9532
